date,open,high,low,adjClose,value,volume,count,yesterday,close,rsi,macd,macd_signal,bb_upper,bb_lower,sma_20,sma_50,future_return,signal
2019-09-07,12650.0,12844.0,12300.0,12755.0,210939469884,16537147,6055,12233.0,12800.0,69.3303589827369,436.6156632167349,502.21796429690926,12489.599242886123,11178.700757113877,11834.15,10276.84,0.016640624999999964,0
2019-09-08,12950.0,12960.0,12333.0,12515.0,129746951710,10366969,5480,12755.0,12410.0,62.28758313829569,441.21604854793804,490.01758114711504,12543.074913022305,11156.225086977694,11849.65,10423.04,0.08138597904915401,1
2019-09-11,12500.0,12700.0,12264.0,12518.0,99366485200,7937792,4020,12515.0,12522.0,63.43628886278215,448.7267088667104,481.75940669103414,12626.751431423398,11124.748568576602,11875.75,10566.38,0.04607890113400415,0
2019-09-14,12660.0,13143.0,12519.0,12996.0,173659926985,13362067,5719,12518.0,12857.0,66.70320728426418,476.2210813800866,480.65174162884466,12785.009757201802,11104.190242798199,11944.6,10714.96,0.027455860620673622,0
2019-09-15,12857.0,13099.0,12350.0,12814.0,110488734211,8622486,3845,12996.0,12850.0,66.56936284360609,491.7768309973453,482.8767595025448,12910.879256087457,11117.120743912543,12014.0,10860.04,0.027237354085603016,0
2019-09-16,12900.0,13450.0,12774.0,13188.0,120961531177,9172045,4238,12814.0,13013.0,68.1709533964733,511.36293874879084,488.573995351794,13044.68984653276,11144.61015346724,12094.65,11003.06,0.014447091370168197,0
2019-09-17,13020.0,13781.0,12800.0,13424.0,104374607044,7775481,3807,13188.0,13420.0,71.80336915563998,553.3479184543503,501.5287799723053,13275.776588170647,11075.523411829352,12175.65,11148.36,0.015797317436661684,0
2019-09-18,13400.0,13749.0,12753.0,12961.0,103086712381,7953392,3375,13424.0,13099.0,65.4583587376271,554.3293365318768,512.0888912842197,13393.932250356414,11051.367749643585,12222.65,11281.1,0.08451026795938632,1
2019-09-21,13005.0,13580.0,13005.0,13349.0,69833196627,5231463,2661,12961.0,13210.0,66.55881259296197,557.6358112475245,521.1982752768807,13525.107673682534,11043.892326317466,12284.5,11409.6,0.1202119606358818,1
2019-09-22,13390.0,13559.0,13140.0,13278.0,76958741752,5796151,3175,13349.0,13200.0,66.35371723580889,553.073809258387,527.573382073182,13636.816095789583,11067.183904210417,12352.0,11531.12,0.11363636363636354,1
2019-09-23,13290.0,13542.0,13201.0,13282.0,77432880784,5829984,3451,13278.0,13201.0,66.36487887406079,543.2765278223596,530.7140112230176,13732.614847476958,11108.585152523043,12420.6,11645.54,0.10203772441481695,1
2019-09-24,13251.0,13890.0,13201.0,13530.0,111475014592,8238976,4174,13282.0,13632.0,70.85283968267382,563.7911759528524,537.3294441689845,13889.84323566234,11138.65676433766,12514.25,11761.1,0.022887323943661997,0
2019-09-25,13600.0,14206.0,13500.0,14094.0,155436647731,11028293,5268,13530.0,14206.0,75.53476749051939,619.2281090926645,553.7091771537205,14162.582161777895,11083.817838222107,12623.2,11876.52,-0.028509080670139353,0
2019-09-28,14690.0,14798.0,14480.0,14714.0,125627757893,8537765,4458,14094.0,14798.0,79.23880451130853,702.829944354995,583.5333305939754,14506.483670585609,11070.216329414392,12788.35,11997.16,-0.05804838491688069,0
2019-09-29,15150.0,15150.0,14000.0,14481.0,96131618978,6638458,4158,14714.0,14700.0,77.15629782569468,752.5028358641703,617.3272316480144,14772.778786745275,11100.921213254725,12936.85,12107.08,-0.0708163265306122,0
2019-09-30,14700.0,14880.0,14500.0,14676.0,82787438233,5640832,2945,14481.0,14548.0,73.9116785020793,770.7194564384336,648.0056766060983,14940.443618672356,11228.056381327644,13084.25,12204.78,-0.07904866648336539,0
2019-10-01,14750.0,14799.0,13943.0,14188.0,148342117757,10455114,4482,14676.0,13944.0,62.63926180527758,728.0262736241002,664.0097960096987,14972.81513846068,11421.08486153932,13196.95,12284.38,-0.08146873207114169,0
2019-10-02,14050.0,14180.0,13500.0,13790.0,62465884225,4529705,2432,14188.0,13801.0,60.29467295386899,674.873195651342,666.1824759380274,14935.451899316602,11681.648100683396,13308.55,12354.96,-0.03007028476197382,0
2019-10-05,14270.0,14389.0,13601.0,14077.0,86329398407,6132620,3022,13790.0,13939.0,61.78137142828647,636.5467306225273,660.2553268749275,14885.838424457412,11957.261575542587,13421.55,12418.1,-0.023674582107755193,0
2019-10-06,14150.0,14150.0,13374.0,13561.0,47028308576,3467842,2307,14077.0,13659.0,57.108950846789085,576.9285972737689,643.5899809546959,14860.215450725042,12120.68454927496,13490.45,12469.88,-0.021158210703565383,0
2019-10-07,13800.0,13925.0,13250.0,13467.0,71912894862,5340088,2898,13561.0,13398.0,53.07921969322873,502.8240358492567,615.436791933608,14854.159023061387,12186.540976938613,13520.35,12520.24,-0.02903418420659798,0
2019-10-08,13470.0,13890.0,12794.0,13034.0,84310933444,6468484,3143,13467.0,12808.0,45.29800873216351,391.9691910198053,570.7432717508475,14817.894531941483,12262.605468058517,13540.25,12559.2,-0.0323235477826358,0
2019-10-09,13000.0,13411.0,12431.0,12961.0,36481837102,2814768,3015,13034.0,13386.0,52.625098177913614,346.7584813554804,525.9463136717741,14776.053282739056,12390.846717260945,13583.45,12603.82,-0.11467204542058862,0
2019-10-12,13549.0,13609.0,13411.0,13601.0,54108110728,3978279,1771,12961.0,13609.0,55.12266504174479,325.17449536370805,485.7919500101609,14766.140472408173,12475.959527591825,13621.05,12658.78,-0.1694466896906459,0
2019-10-13,14100.0,14180.0,13253.0,13693.0,34419065276,2513640,2296,13601.0,13370.0,51.960943965058,285.4927457078902,445.73210914970684,14743.512397896058,12550.58760210394,13647.05,12695.02,-0.1730740463724757,0
2019-10-14,13351.0,13380.0,13009.0,13046.0,40576072256,3110245,1783,13693.0,13009.0,47.526649487070415,222.3518564253227,401.05605860483,14743.77630107951,12549.923698920491,13646.85,12718.56,-0.16288723191636556,0
2019-10-15,12401.0,13000.0,12394.0,12474.0,21956747651,1760225,749,13046.0,12394.0,41.09286489653217,121.28874537572847,345.1025959590097,14818.805897185855,12372.294102814143,13595.55,12723.66,-0.14482814264966914,0
2019-10-16,11901.0,12367.0,11851.0,11897.0,51058770939,4291632,2069,12474.0,11851.0,36.406676450708694,-2.590201975101081,275.56403637218756,14961.491174229732,12104.808825770268,13533.15,12701.8,-0.1493544848535988,0
2019-10-20,11505.0,11798.0,11303.0,11352.0,22941572942,2020972,707,11897.0,11303.0,32.39195102860505,-143.33193905082226,191.7848412875856,15163.378349423743,11712.221650576255,13437.8,12667.9,-0.058833937892594834,0
2019-10-21,10785.0,11060.0,10785.0,10810.0,51759481721,4787906,1876,11352.0,11056.0,30.746188472839094,-271.66997306683515,99.09387841670147,15344.287602385228,11316.912397614773,13330.6,12639.42,-0.001989869753979745,0
2019-10-22,11001.0,11350.0,10430.0,11038.0,47838322280,4333849,2272,10810.0,10890.0,29.655668542761376,-382.36592595041293,2.8019175432785914,15493.09235913206,10937.007640867938,13215.05,12615.32,-0.0027548209366391463,0
2019-10-23,11012.0,11012.0,10487.0,10595.0,29792237616,2811835,1977,11038.0,10599.0,27.79455997164557,-487.94975312757015,-95.34841659089116,15599.432365724057,10527.367634275943,13063.4,12585.3,0.049721671855835536,0
2019-10-26,10201.0,10438.0,10066.0,10132.0,37220055808,3673567,2091,10595.0,10081.0,24.809804319647924,-606.4333812221794,-197.5654095171488,15646.26077406401,10068.039225935989,12857.15,12546.92,0.06834639420692401,1
2019-10-28,10000.0,10638.0,9999.0,10509.0,30280572938,2881460,1745,10132.0,10638.0,33.12585864937358,-647.9184644162779,-287.63602049697465,15448.726487613785,9849.573512386214,12649.15,12530.08,0.048787366046249225,0
2019-10-30,10951.0,11034.0,10810.0,11013.0,24692189386,2242080,1181,10509.0,11034.0,38.34666240726367,-641.4475926804171,-358.39833493366314,15183.160749619912,9748.539250380089,12465.85,12521.52,0.014138118542686318,0
2019-11-02,11496.0,11496.0,10661.0,10967.0,30502518132,2781379,2088,11013.0,10860.0,36.980535359329494,-642.9482191816023,-415.308311783251,14907.558411699702,9655.3415883003,12281.45,12510.72,-0.0075506445672191,0
2019-11-03,11000.0,11210.0,10642.0,11048.0,22327533115,2021033,1520,10967.0,11126.0,40.471956221227444,-615.5775052531098,-455.36215047722277,14696.17763132658,9584.922368673419,12140.55,12497.24,-0.011774222541793944,0
2019-11-04,11170.0,11300.0,10720.0,10960.0,12247329273,1117457,1130,11048.0,10770.0,37.47920314108493,-615.5169458475611,-487.3931095512905,14491.723636360975,9486.276363639025,11989.0,12469.46,0.06471680594243279,1
2019-11-05,10750.0,11388.0,10750.0,11141.0,15386928953,1381120,1141,10960.0,11157.0,42.460352215586,-577.5832660187407,-505.43114084478054,14208.750389490588,9491.049610509412,11849.9,12453.14,0.045083803889934604,0
