date,open,high,low,adjClose,value,volume,count,yesterday,close,rsi,macd,macd_signal,bb_upper,bb_lower,sma_20,sma_50,volume_ratio,momentum_5,momentum_10,prev_day_change,high_52w,low_52w,dist_from_high,dist_from_low,price_to_sma20,price_to_sma50,future_return,signal
2010-03-29,1390.0,1390.0,1370.0,1368.0,450544702,325236,34,1366.0,1390.0,67.55228744501237,26.155134968589664,26.265404306855554,1402.8715816689714,1303.2284183310285,1353.05,1279.06,0.23865877169278726,0.03731343283582089,0.016081871345029253,0.0007199424046075986,1405.0,1038.0,-0.010676156583629894,0.33911368015414256,1.0273086729980414,1.0867355714352729,0.03597122302158273,0
2010-03-30,1390.0,1399.0,1387.0,1373.0,1071058061,769099,87,1368.0,1395.0,68.48815604858709,27.109975370880875,26.43431851966062,1405.0684563223854,1310.2315436776148,1357.65,1283.34,0.5572765826836746,0.04808414725770094,0.041822255414488474,0.003597122302158251,1405.0,1038.0,-0.0071174377224199285,0.3439306358381503,1.0275107722903545,1.0870073402216094,0.057347670250896154,1
2010-03-31,1380.0,1400.0,1380.0,1374.0,280204843,200995,16,1373.0,1392.0,67.235121856635,27.309807875572005,26.6094163908429,1408.3801010950685,1313.4198989049316,1360.9,1287.08,0.15157851647622161,0.0388059701492538,0.04269662921348316,-0.0021505376344086446,1405.0,1038.0,-0.009252669039145907,0.34104046242774566,1.0228525240649569,1.0815178543680268,0.07040229885057481,1
2010-04-03,1412.0,1422.0,1400.0,1380.0,740991762,522006,38,1374.0,1405.0,69.81251769423244,28.19218595901293,26.92597030447691,1414.2869125495167,1314.0130874504835,1364.15,1290.78,0.7039911659564575,0.018115942028985588,0.03690036900368998,0.009339080459770166,1405.0,1038.0,0.0,0.3535645472061657,1.0299453872374738,1.0884891306032012,0.09466192170818499,1
2010-04-04,1422.0,1428.0,1405.0,1427.0,8649576458,6061098,123,1380.0,1415.0,71.65933499131417,29.35995014451214,27.412766272483957,1420.790380070998,1315.8096199290019,1368.3,1294.98,5.9836099519418555,0.018718502519798452,0.05282738095238093,0.007117437722419906,1415.0,1038.0,0.0,0.3631984585741811,1.0341299422641235,1.0926809680458385,0.12226148409894,1
2010-04-05,1415.0,1475.0,1403.0,1426.0,895345725,629413,37,1427.0,1440.0,75.66720580863769,31.9345807725299,28.317129172493146,1432.656886710792,1313.943113289208,1373.3,1299.86,0.6077496131035217,0.03597122302158273,0.07462686567164178,0.0176678445229681,1440.0,1038.0,0.0,0.3872832369942196,1.0485691400276707,1.1078116104811289,0.06458333333333344,1
2010-04-06,1468.0,1475.0,1427.0,1440.0,2207390857,1509627,93,1426.0,1475.0,79.943532219366,36.3798374665887,29.929670831312258,1452.503772193198,1306.6962278068017,1379.6,1305.3,1.75907223882684,0.057347670250896154,0.10818933132982722,0.02430555555555558,1475.0,1038.0,0.0,0.4210019267822736,1.0691504783995363,1.130008427181491,0.01016949152542379,0
2010-04-07,1470.0,1490.0,1470.0,1486.0,5345975300,3587970,115,1440.0,1490.0,81.44830317788865,40.64458459194452,32.072653583438715,1471.9553661774573,1297.2446338225425,1384.6,1311.04,3.5962716334386298,0.07040229885057481,0.11194029850746268,0.01016949152542379,1490.0,1038.0,0.0,0.43545279383429675,1.0761230680340894,1.1365023187698315,-0.01140939597315438,0
2010-04-10,1538.0,1538.0,1500.0,1535.0,27711886846,18052817,516,1486.0,1538.0,85.2595101094181,47.35178436717274,35.12847974018552,1502.101760549287,1281.9982394507128,1392.05,1317.4,9.60694080171593,0.09466192170818499,0.11449275362318834,0.03221476510067123,1538.0,1038.0,0.0,0.4816955684007707,1.1048453719334794,1.1674510399271292,-0.06046814044213267,0
2010-04-11,1588.0,1588.0,1581.0,1588.0,14336727060,9029198,272,1535.0,1588.0,88.02032546047352,56.05569548033259,39.31392288821493,1541.4787380364128,1263.4212619635873,1402.45,1325.04,4.082884583105431,0.12226148409894,0.14326853851691856,0.032509752925877766,1588.0,1038.0,0.0,0.5298651252408478,1.1323041819672715,1.1984543862826782,-0.06297229219143574,0
2010-04-12,1619.0,1619.0,1533.0,1544.0,6041442634,3913676,265,1588.0,1533.0,72.03726241214252,57.848723327049356,43.02088297598182,1559.790710642875,1261.6092893571251,1410.7,1331.46,1.630072385537287,0.06458333333333344,0.10287769784172651,-0.0346347607052897,1588.0,1038.0,-0.034634760705289674,0.476878612716763,1.0866945488055575,1.151367671578568,-0.004566210045662156,0
2010-04-13,1535.0,1589.0,1490.0,1525.0,2876981008,1911907,83,1544.0,1490.0,62.48429366668668,55.16407308357043,45.44952099749954,1567.3457745880055,1269.1542254119945,1418.25,1336.56,0.7688478578151003,0.01016949152542379,0.06810035842293916,-0.028049575994781528,1588.0,1038.0,-0.061712846347607056,0.43545279383429675,1.0505905164815794,1.1148021787274796,-0.03087248322147651,0
2010-04-14,1472.0,1490.0,1472.0,1497.0,3172242159,2152398,99,1525.0,1473.0,59.14492919700787,51.07593886906625,46.574804571812884,1570.932406345887,1279.367593654113,1425.15,1341.28,0.83249358050314,-0.01140939597315438,0.0581896551724137,-0.01140939597315438,1588.0,1038.0,-0.07241813602015114,0.4190751445086705,1.033575413114409,1.098204699988071,-0.008825526137135054,0
2010-04-17,1445.0,1445.0,1445.0,1491.0,698914710,483678,28,1497.0,1445.0,54.023733791433074,45.05730449737143,46.2713045569246,1572.0090882241007,1287.2909117758995,1429.65,1345.0,0.18812010114842104,-0.06046814044213267,0.028469750889679624,-0.01900882552613714,1588.0,1038.0,-0.09005037783375315,0.3921001926782274,1.0107368936452978,1.0743494423791822,-0.00761245674740485,0
2010-04-18,1445.0,1488.0,1439.0,1475.0,2241347206,1544244,63,1491.0,1488.0,59.7829008955915,43.25857609222726,45.66875886398513,1575.6754659635512,1298.0245340364486,1436.85,1349.6,0.5866885186272952,-0.06297229219143574,0.05159010600706715,0.02975778546712804,1588.0,1038.0,-0.06297229219143577,0.43352601156069365,1.0355987055016183,1.102548903378779,-0.025537634408602128,0
2010-04-19,1480.0,1526.0,1480.0,1490.0,1888450033,1239563,79,1475.0,1526.0,64.06664547442126,44.38767975096357,45.41254304138082,1582.6787881730336,1309.6212118269666,1446.15,1355.32,0.46223926481029576,-0.004566210045662156,0.05972222222222223,0.02553763440860224,1588.0,1038.0,-0.03904282115869018,0.4701348747591522,1.0552155723818413,1.1259333589115486,-0.047182175622542566,0
2010-04-20,1520.0,1530.0,1440.0,1487.0,716120351,487675,44,1490.0,1444.0,51.354795239362566,38.22515207902234,43.97506484890913,1577.7422089690228,1325.857791030977,1451.8,1359.8,0.18182003580177902,-0.03087248322147651,-0.021016949152542375,-0.053735255570117935,1588.0,1038.0,-0.0906801007556675,0.3911368015414258,0.9946273591403775,1.061920870716282,0.04085872576177296,0
